Date/Time,Word Count,en,pt-BR
2025.06.14-13.53.19,345,0,345
2025.06.14-15.18.22,345,345,345
2025.06.14-16.38.09,373,338,373
2025.06.14-16.41.26,373,373,373
2025.06.14-22.18.50,385,372,385
2025.06.14-22.20.47,385,385,385
2025.06.15-02.49.28,405,385,405
2025.06.15-02.51.29,405,405,405
2025.06.15-23.47.55,423,405,423
2025.06.15-23.50.05,423,423,423
2025.06.18-23.26.47,428,413,428
2025.06.18-23.27.56,428,428,428
2025.06.26-10.57.34,445,428,445
2025.06.26-10.58.56,445,445,445
2025.08.15-11.12.16,446,437,446
2025.08.15-11.13.42,446,446,446
2025.08.26-19.22.35,620,396,620
2025.08.26-19.46.53,620,620,620
